timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2021-02-08T00:00:00.000Z";"2021-02-08T23:59:59.999Z";"2021-02-08T23:59:08.000Z";"2021-02-08T02:55:08.000Z";"2781";68.52555921;79.83154155;67.85923475;79.83154155;2133574290.95;12336590446.72;"2021-02-08T23:59:59.999Z"
"2021-02-07T00:00:00.000Z";"2021-02-07T23:59:59.999Z";"2021-02-07T00:24:08.000Z";"2021-02-07T16:19:08.000Z";"2781";72.86821713;74.61254552;64.49789838;68.59052075;1493688264.6;10599484196.39;"2021-02-07T23:59:59.999Z"
"2021-02-06T00:00:00.000Z";"2021-02-06T23:59:59.999Z";"2021-02-06T10:20:09.000Z";"2021-02-06T01:52:07.000Z";"2781";67.85464013;75.40188209;62.2081248;72.73360043;2114553791.92;11239725837.63;"2021-02-06T23:59:59.999Z"
"2021-02-05T00:00:00.000Z";"2021-02-05T23:59:59.999Z";"2021-02-05T23:49:07.000Z";"2021-02-05T00:00:08.000Z";"2781";56.0108048;68.46396074;56.0108048;67.84556675;1431595318.77;10484364379.67;"2021-02-05T23:59:59.999Z"
"2021-02-04T00:00:00.000Z";"2021-02-04T23:59:59.999Z";"2021-02-04T22:01:08.000Z";"2021-02-04T09:13:07.000Z";"2781";52.24221033;57.07090989;51.60264311;55.92512552;940905213.97;8642265397.38;"2021-02-04T23:59:59.999Z"
"2021-02-03T00:00:00.000Z";"2021-02-03T23:59:59.999Z";"2021-02-03T23:40:13.000Z";"2021-02-03T08:34:07.000Z";"2781";51.0501037;52.67743405;49.95558469;52.24263599;714000887.59;8073200034.66;"2021-02-03T23:59:59.999Z"
"2021-02-02T00:00:00.000Z";"2021-02-02T23:59:59.999Z";"2021-02-02T11:10:09.000Z";"2021-02-02T06:20:08.000Z";"2781";51.55188381;52.91186646;49.38707351;51.05640444;1006694242.38;7889888369.65;"2021-02-02T23:59:59.999Z"
"2021-02-01T00:00:00.000Z";"2021-02-01T23:59:59.999Z";"2021-02-01T22:37:07.000Z";"2021-02-01T00:34:07.000Z";"2781";44.30907487;52.13868407;43.52419288;51.60769628;1256933735.33;7975081034.01;"2021-02-01T23:59:59.999Z"
"2021-01-31T00:00:00.000Z";"2021-01-31T23:59:59.999Z";"2021-01-31T00:53:07.000Z";"2021-01-31T15:37:07.000Z";"2781";44.79869943;45.70770902;43.4290746;44.27599213;512545443.39;6842092372.87;"2021-01-31T23:59:59.999Z"
"2021-01-30T00:00:00.000Z";"2021-01-30T23:59:59.999Z";"2021-01-30T15:49:07.000Z";"2021-01-30T02:01:07.000Z";"2781";42.85351073;44.98825414;42.68006512;44.77227836;533768579.48;6918784866.52;"2021-01-30T23:59:59.999Z"
"2021-01-29T00:00:00.000Z";"2021-01-29T23:59:59.999Z";"2021-01-29T11:43:07.000Z";"2021-01-29T04:23:07.000Z";"2781";42.38617929;44.00945418;41.90700127;42.8523495;651771602.85;6622092912.22;"2021-01-29T23:59:59.999Z"
"2021-01-28T00:00:00.000Z";"2021-01-28T23:59:59.999Z";"2021-01-28T22:40:11.000Z";"2021-01-28T00:25:07.000Z";"2781";40.98641768;43.07650825;40.50751763;42.52910584;533847526.99;6572141168.67;"2021-01-28T23:59:59.999Z"
"2021-01-27T00:00:00.000Z";"2021-01-27T23:59:59.999Z";"2021-01-27T00:31:09.000Z";"2021-01-27T14:53:08.000Z";"2781";41.75617132;42.04783643;39.73079927;40.99487847;519618043.15;6335052741.108132;"2021-01-27T23:59:59.999Z"
"2021-01-26T00:00:00.000Z";"2021-01-26T23:59:59.999Z";"2021-01-26T03:13:09.000Z";"2021-01-26T14:49:08.000Z";"2781";41.65512898;42.47721623;40.0078334;41.69473571;546536514.31;6443203628.684699;"2021-01-26T23:59:59.999Z"
